Year,DayofYear,Station,Temp,Conductivity,DO,pH,Turbidity
2022,121,Oliver,4.7,0.11,12.9,7.6,22
2022,128,Oliver,10.9,0.11,11,7.5,11
2022,135,Oliver,14.3,0.09,10.5,7.5,43
2022,142,Oliver,12.6,0.1,11,7.5,13
2022,149,Oliver,13.8,0.12,10,7.5,8
2022,156,Oliver,16.8,0.12,9.5,7.5,11
2022,163,Oliver,18.4,0.13,8.5,7.4,6
2022,170,Oliver,18.9,0.13,8.8,7.5,6
2022,177,Oliver,22,0.15,8.1,7.6,10
2022,184,Oliver,21.9,0.15,8.1,7.4,8
2022,191,Oliver,22.1,0.15,8.1,7.6,6
2022,198,Oliver,23.3,0.16,7.8,7.6,6
2022,205,Oliver,24.4,0.17,6.6,7.5,9
2022,212,Oliver,23.4,0.21,7.6,7.7,6
2022,219,Oliver,23.5,0.25,7.4,7.8,4
2022,226,Oliver,21.5,0.21,7.7,7.7,5
2022,233,Oliver,21.7,0.18,8.2,7.6,4
2022,240,Oliver,22.5,0.18,7.6,7.6,3
2022,247,Oliver,21.3,0.19,7.8,7.6,4
2022,254,Oliver,20.7,0.19,7.1,7.4,4
2022,261,Oliver,18.8,0.21,7.5,7.5,4
2022,268,Oliver,16.6,0.24,8.1,7.6,3
2022,275,Oliver,14,0.25,9.5,7.7,4
2022,282,Oliver,12,0.24,9.2,7.6,4
2022,289,Oliver,9.2,0.25,9.8,7.6,4
2022,296,Oliver,7.7,0.25,11.5,7.7,4
2022,303,Oliver,8.3,0.28,11.1,7.7,4
2022,310,Oliver,7.6,0.27,11.1,7.7,9
2023,120,Oliver,6,0.09,13.2,7.5,10
2023,127,Oliver,8.9,0.1,12.2,7.6,11
2023,134,Oliver,13.7,0.1,11.1,7.6,7
2023,141,Oliver,15.8,0.13,9.9,7.5,2
2023,148,Oliver,17.3,0.15,9.9,7.7,1
2023,155,Oliver,22.3,0.17,8.6,7.9,3
2023,162,Oliver,20.2,0.21,7.9,7.8,4
2023,169,Oliver,20.5,0.22,7.7,7.8,4
2023,176,Oliver,20.9,0.22,7.3,7.8,6
2023,183,Oliver,23.6,0.21,7.9,7.8,3
2023,190,Oliver,23.9,0.23,6.8,7.7,3
2023,197,Oliver,23,0.28,7.2,7.8,2
2023,204,Oliver,22.7,0.29,7.7,7.9,3
2023,211,Oliver,23.6,0.27,7.5,7.9,3
2023,218,Oliver,24.1,0.27,7.7,8,2
2023,225,Oliver,22.8,0.3,7.4,8,2
2023,232,Oliver,23.4,0.31,8.2,8.2,1
2023,239,Oliver,20.9,0.3,8,8,1
2023,246,Oliver,23.4,0.3,7.9,8.1,1
2023,253,Oliver,20.9,0.3,6.9,7.8,1
2023,260,Oliver,18.6,0.3,8.4,8,1
2023,267,Oliver,18.3,0.33,8.2,8,2
2023,274,Oliver,16.5,0.21,9.2,7.7,6
2023,281,Oliver,14.9,0.17,8.8,7.6,4
2023,288,Oliver,11.1,0.19,10.2,7.7,3
2023,295,Oliver,10.3,0.2,11.4,7.7,2
2023,302,Oliver,8,0.24,12,7.9,4
2023,309,Oliver,3.5,0.24,13.9,8,4
2024,98,Oliver,5.3,0.26,13,8,10
2024,105,Oliver,8.8,0.2,11.5,7.8,7
2024,112,Oliver,6,0.15,12.3,7.6,9
2024,119,Oliver,8.8,0.15,10.8,7.5,7
2024,126,Oliver,10.1,0.12,11.2,7.5,13
2024,133,Oliver,14.8,0.12,9.8,7.5,8
2024,140,Oliver,15.3,0.14,9.9,7.6,3
2024,147,Oliver,14.9,0.11,10.4,7.6,19
2024,154,Oliver,19,0.13,9.1,7.6,5
2024,161,Oliver,18.3,0.13,9.2,7.6,9
2024,168,Oliver,19,0.13,8.6,7.6,4
2024,175,Oliver,18,0.1,9.7,7.5,33
2024,182,Oliver,19.2,0.12,9.4,7.6,12
2024,189,Oliver,22.1,0.13,8.1,7.4,6
2024,196,Oliver,25.2,0.14,7.5,7.4,5
2024,203,Oliver,24.3,0.14,7.6,7.4,3
2024,210,Oliver,25.1,0.17,7,7.4,2
2024,217,Oliver,24.7,0.18,6.3,7.4,4
2024,224,Oliver,21.4,0.21,7.7,7.7,4
2024,231,Oliver,23.6,0.22,7.5,7.7,3
2024,238,Oliver,22.8,0.23,7.2,7.8,3
2024,245,Oliver,22.2,0.24,7.4,7.8,4
2024,252,Oliver,19.8,0.24,7.4,7.7,3
2024,259,Oliver,21.8,0.26,8,7.7,4
2024,266,Oliver,21.5,0.26,6.9,7.6,4
2024,273,Oliver,20.6,0.27,7.3,7.6,3
2024,280,Oliver,14.8,0.28,8.7,7.8,9
2024,287,Oliver,13.6,0.3,9.2,7.8,4
