Station,Year,PO4,NH4,NOx,Chl_a
Barkers,2021,0.006,0.034,0.142,28.9
Barkers,2021,0.006,0.033,0.173,33.2
Barkers,2021,0.006,0.015,0.142,33.2
Barkers,2021,0.006,0.013,0.126,34.8
Barkers,2021,0.006,0.01,0.132,37.8
Barkers,2021,0.006,0.015,0.147,40.8
Barkers,2021,0.006,0.013,0.132,30.7
Barkers,2021,0.006,0.011,0.132,28
Barkers,2021,0.006,0.017,0.133,28.9
Barkers,2021,0.006,0.015,0.133,26.7
Barkers,2021,0.006,0.018,0.135,20.3
Barkers,2021,0.006,0.018,0.137,15.6
Barkers,2021,0.006,0.013,0.129,33
Barkers,2021,0.006,0.013,0.126,33.1
Barkers,2022,0.013,0.02,0.414,16
Barkers,2022,0.012,0.019,0.416,16.6
Barkers,2022,0.013,0.016,0.435,15.1
Barkers,2022,0.012,0.014,0.393,18.1
Barkers,2022,0.013,0.014,0.437,12.4
Barkers,2022,0.016,0.014,0.476,10.6
Barkers,2022,0.013,0.014,0.421,14.2
Barkers,2022,NA,NA,NA,NA
Barkers,2022,0.016,0.021,0.489,12.2
Barkers,2022,0.015,0.019,0.501,12.5
Barkers,2022,0.014,0.019,0.446,15.1
Barkers,2022,0.013,0.022,0.451,15.9
Barkers,2022,0.013,0.014,0.447,15.2
Barkers,2022,0.014,0.015,0.442,14.9
Barkers,2023,0.006,0.016,0.131,21.02
Barkers,2023,0.006,0.019,0.125,17.82
Barkers,2023,0.006,0.017,0.128,20.05
Barkers,2023,0.005,0.014,0.122,19.63
Barkers,2023,0.006,0.016,0.13,16.48
Barkers,2023,0.007,0.018,0.135,15.78
Barkers,2023,0.006,0.019,0.136,17.2
Barkers,2023,0.006,0.023,0.143,17.34
Barkers,2023,0.007,0.037,0.17,18.01
Barkers,2023,0.007,0.03,0.17,17.99
Barkers,2023,0.007,0.017,0.13,17.58
Barkers,2023,0.007,0.019,0.139,15.66
Barkers,2023,0.006,0.01,0.109,19.38
Barkers,2023,0.005,0.01,0.114,20.18
Blatnik,2021,0.014,0.231,0.284,11.5
Blatnik,2021,0.014,0.223,0.274,9.2
Blatnik,2022,0.025,0.072,0.379,3.2
Blatnik,2022,0.025,0.075,0.378,2.9
Blatnik,2023,0.005,0.108,0.157,21.62
Blatnik,2023,0.005,0.107,0.163,22.44
Oliver,2021,0.006,0.018,0.014,6.9
Oliver,2021,0.006,0.016,0.013,2.6
Oliver,2022,0.013,0.018,0.203,2.7
Oliver,2022,0.013,0.022,0.202,2.6
Oliver,2023,0.005,0.008,0.006,3.85
Oliver,2023,0.006,0.008,0.005,3.62
Pokegama,2021,0.006,0.009,0.008,6.2
Pokegama,2021,0.011,0.01,0.008,4.5
Pokegama,2022,0.019,0.01,0.005,6.7
Pokegama,2022,0.019,0.008,0.005,6.2
Pokegama,2023,0.016,0.008,0.005,6.01
Pokegama,2023,0.015,0.008,0.005,5.08
